Step,AgentID,Steps to fire up
6,"(10, 18)",-1
6,"(10, 27)",-1
6,"(10, 28)",-1
6,"(10, 31)",-1
6,"(10, 34)",-1
6,"(10, 42)",-1
6,"(10, 43)",-1
6,"(10, 44)",-1
6,"(10, 47)",-1
6,"(10, 48)",-1
6,"(10, 50)",-1
6,"(10, 53)",-1
6,"(10, 57)",-1
6,"(10, 58)",-1
6,"(10, 60)",-1
6,"(10, 62)",-1
6,"(10, 63)",-1
6,"(10, 68)",-1
6,"(10, 69)",-1
6,"(10, 70)",-1
6,"(10, 73)",-1
6,"(10, 74)",-1
6,"(10, 76)",-1
6,"(10, 81)",-1
6,"(10, 84)",-1
6,"(10, 85)",-1
6,"(10, 86)",-1
6,"(10, 88)",-1
6,"(10, 89)",-1
6,"(10, 92)",-1
6,"(10, 94)",-1
6,"(10, 98)",-1
6,"(11, 4)",-1
6,"(11, 5)",-1
6,"(11, 7)",-1
6,"(11, 9)",-1
6,"(11, 10)",-1
6,"(11, 12)",-1
6,"(11, 15)",-1
6,"(11, 16)",-1
6,"(11, 18)",-1
6,"(11, 19)",-1
6,"(11, 20)",-1
6,"(11, 22)",-1
6,"(11, 26)",-1
6,"(11, 27)",-1
6,"(11, 28)",-1
6,"(11, 29)",-1
6,"(11, 30)",-1
6,"(11, 31)",-1
6,"(11, 32)",-1
6,"(11, 35)",-1
6,"(11, 36)",-1
6,"(11, 38)",-1
6,"(11, 39)",-1
6,"(11, 40)",-1
6,"(11, 41)",-1
6,"(11, 43)",-1
6,"(11, 44)",-1
6,"(11, 48)",-1
6,"(11, 51)",-1
6,"(11, 54)",-1
6,"(11, 55)",-1
6,"(11, 56)",-1
6,"(11, 64)",-1
6,"(11, 65)",-1
6,"(11, 69)",-1
6,"(11, 70)",-1
6,"(11, 72)",-1
6,"(11, 73)",-1
6,"(11, 79)",-1
6,"(11, 81)",-1
6,"(11, 86)",-1
6,"(11, 89)",-1
6,"(11, 90)",-1
6,"(11, 92)",-1
6,"(11, 94)",-1
6,"(11, 96)",-1
6,"(11, 97)",-1
6,"(12, 4)",-1
6,"(12, 5)",-1
6,"(12, 6)",-1
6,"(12, 14)",-1
6,"(12, 15)",-1
6,"(12, 16)",-1
6,"(12, 19)",-1
6,"(12, 26)",-1
6,"(12, 28)",-1
6,"(12, 29)",-1
6,"(12, 31)",-1
6,"(12, 32)",-1
6,"(12, 41)",-1
6,"(12, 44)",-1
6,"(12, 47)",-1
6,"(12, 48)",-1
6,"(12, 49)",-1
6,"(12, 52)",-1
6,"(12, 53)",-1
6,"(12, 54)",-1
6,"(12, 59)",-1
6,"(12, 61)",-1
6,"(12, 62)",-1
6,"(12, 63)",-1
6,"(12, 64)",-1
6,"(12, 65)",-1
6,"(12, 66)",-1
6,"(12, 70)",-1
6,"(12, 74)",-1
6,"(12, 75)",-1
6,"(12, 78)",-1
6,"(12, 80)",-1
6,"(12, 82)",-1
6,"(12, 83)",-1
6,"(12, 86)",-1
6,"(12, 87)",-1
6,"(12, 88)",-1
6,"(12, 89)",-1
6,"(12, 91)",-1
6,"(12, 94)",-1
6,"(12, 95)",-1
6,"(12, 97)",-1
6,"(13, 1)",-1
6,"(13, 2)",-1
6,"(13, 3)",-1
6,"(13, 4)",-1
6,"(13, 5)",-1
6,"(13, 7)",-1
6,"(13, 9)",-1
6,"(13, 11)",-1
6,"(13, 13)",-1
6,"(13, 15)",-1
6,"(13, 16)",-1
6,"(13, 21)",-1
6,"(13, 22)",-1
6,"(13, 23)",-1
6,"(13, 26)",-1
6,"(13, 27)",-1
6,"(13, 28)",-1
6,"(13, 29)",-1
6,"(13, 34)",-1
6,"(13, 36)",-1
6,"(13, 37)",-1
6,"(13, 39)",-1
6,"(13, 41)",-1
6,"(13, 43)",-1
6,"(13, 44)",-1
6,"(13, 45)",-1
6,"(13, 49)",-1
6,"(13, 50)",-1
6,"(13, 51)",-1
6,"(13, 53)",-1
6,"(13, 54)",-1
6,"(13, 55)",-1
6,"(13, 58)",-1
6,"(13, 59)",-1
6,"(13, 60)",-1
6,"(13, 61)",-1
6,"(13, 62)",-1
6,"(13, 65)",-1
6,"(13, 68)",-1
6,"(13, 69)",-1
6,"(13, 70)",-1
6,"(13, 71)",-1
6,"(13, 73)",-1
6,"(13, 75)",-1
6,"(13, 77)",-1
6,"(13, 79)",-1
6,"(13, 81)",-1
6,"(13, 82)",-1
6,"(13, 83)",-1
6,"(13, 90)",-1
6,"(13, 91)",-1
6,"(13, 92)",-1
6,"(13, 93)",-1
6,"(13, 97)",-1
6,"(13, 99)",-1
6,"(14, 1)",-1
6,"(14, 2)",-1
6,"(14, 5)",-1
6,"(14, 10)",-1
6,"(14, 14)",-1
6,"(14, 16)",-1
6,"(14, 17)",-1
6,"(14, 21)",-1
6,"(14, 22)",-1
6,"(14, 24)",-1
6,"(14, 25)",-1
6,"(14, 26)",-1
6,"(14, 27)",-1
6,"(14, 29)",-1
6,"(14, 30)",-1
6,"(14, 34)",-1
6,"(14, 37)",-1
6,"(14, 42)",-1
6,"(14, 44)",-1
6,"(14, 49)",-1
6,"(14, 51)",-1
6,"(14, 54)",-1
6,"(14, 59)",-1
6,"(14, 61)",-1
6,"(14, 64)",-1
6,"(14, 66)",-1
6,"(14, 67)",-1
6,"(14, 68)",-1
6,"(14, 73)",-1
6,"(14, 74)",-1
6,"(14, 77)",-1
6,"(14, 83)",-1
6,"(14, 85)",-1
6,"(14, 87)",-1
6,"(14, 89)",-1
6,"(14, 90)",-1
6,"(14, 91)",-1
6,"(14, 93)",-1
6,"(14, 96)",-1
6,"(14, 97)",-1
6,"(14, 98)",-1
6,"(15, 0)",-1
6,"(15, 1)",-1
6,"(15, 2)",-1
6,"(15, 10)",-1
6,"(15, 12)",-1
6,"(15, 14)",-1
6,"(15, 16)",-1
6,"(15, 19)",-1
6,"(15, 21)",-1
6,"(15, 22)",-1
6,"(15, 27)",-1
6,"(15, 30)",-1
6,"(15, 31)",-1
6,"(15, 34)",-1
6,"(15, 36)",-1
6,"(15, 37)",-1
6,"(15, 40)",-1
6,"(15, 42)",-1
6,"(15, 43)",-1
6,"(15, 45)",-1
6,"(15, 46)",-1
6,"(15, 49)",-1
6,"(15, 50)",-1
6,"(15, 51)",-1
6,"(15, 53)",-1
6,"(15, 57)",-1
6,"(15, 59)",-1
6,"(15, 60)",-1
6,"(15, 61)",-1
6,"(15, 66)",-1
6,"(15, 69)",-1
6,"(15, 70)",-1
6,"(15, 75)",-1
6,"(15, 78)",-1
6,"(15, 81)",-1
6,"(15, 85)",-1
6,"(15, 86)",-1
6,"(15, 87)",-1
6,"(15, 89)",-1
6,"(15, 91)",-1
6,"(15, 94)",-1
6,"(15, 96)",-1
6,"(15, 97)",-1
6,"(16, 0)",-1
6,"(16, 2)",-1
6,"(16, 3)",-1
6,"(16, 4)",-1
6,"(16, 6)",-1
6,"(16, 11)",-1
6,"(16, 12)",-1
6,"(16, 16)",-1
6,"(16, 18)",-1
6,"(16, 21)",-1
6,"(16, 23)",-1
6,"(16, 25)",-1
6,"(16, 26)",-1
6,"(16, 32)",-1
6,"(16, 35)",-1
6,"(16, 36)",-1
6,"(16, 38)",-1
6,"(16, 41)",-1
6,"(16, 44)",-1
6,"(16, 47)",-1
6,"(16, 48)",-1
6,"(16, 49)",-1
6,"(16, 52)",-1
6,"(16, 55)",-1
6,"(16, 59)",-1
6,"(16, 60)",-1
6,"(16, 62)",-1
6,"(16, 66)",-1
6,"(16, 68)",-1
6,"(16, 72)",-1
6,"(16, 74)",-1
6,"(16, 75)",-1
6,"(16, 76)",-1
6,"(16, 80)",-1
6,"(16, 84)",-1
6,"(16, 88)",-1
6,"(16, 89)",-1
6,"(16, 90)",-1
6,"(16, 94)",-1
6,"(16, 95)",-1
6,"(16, 97)",-1
6,"(17, 0)",-1
